Eruption date;Country;Volcano Name;Location;Tsunami;Earthquake;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Total Effects : Deaths;Coordinates
1995-04-02;Cape Verde;Fogo;Cape Verde Is;non;non;2829;Stratovolcano;Historical;2;;;14.95, -24.35
2017-09-12;Italy;Campi Flegrei;Italy;non;non;458;Caldera;Historical;;3;3;40.827, 14.139
1600-02-19;Peru;Huaynaputina;Peru;non;oui;4850;Stratovolcano;Historical;6;1500;1500;-16.608, -70.85
1629-01-01;Iceland;Grimsvotn;Iceland-NE;non;non;1725;Caldera;Historical;2;4;4;64.42, -17.33
1789-01-01;Japan;Oshima;Izu Is-Japan;non;non;758;Stratovolcano;Historical;2;;;34.73, 139.38
1837-09-01;Indonesia;Peuet Sague;Sumatra;oui;oui;2801;Complex volcano;Historical;;;;4.914, 96.329
1854-02-01;Japan;Aso;Kyushu-Japan;non;non;1592;Caldera;Historical;2;3;3;32.88, 131.1
1871-04-30;Philippines;Camiguin;Mindanao-Philippines;oui;oui;1332;Stratovolcano;Historical;2;;;9.203, 124.673
1875-03-29;Iceland;Askja;Iceland-NE;non;non;1516;Stratovolcano;Historical;5;;;65.03, -16.75
1886-06-10;New Zealand;Okataina;New Zealand;non;non;1111;Lava dome;Historical;2;153;153;-38.12, 176.5
1993-06-26;Philippines;Pinatubo;Luzon-Philippines;non;non;1486;Stratovolcano;Historical;1;4;4;15.13, 120.35
1996-08-10;Philippines;Kanlaon;Philippines-C;non;non;2435;Stratovolcano;Historical;2;3;3;10.412, 123.132
1638-01-01;Indonesia;Raung;Java;non;non;3332;Stratovolcano;Historical;4;1001;1001;-8.125, 114.042
1684-12-01;Iceland;Grimsvotn;Iceland-NE;non;non;1725;Caldera;Historical;2;1;1;64.42, -17.33
1694-11-20;Pacific Ocean;Banda Api;Banda Sea;non;non;640;Caldera;Historical;3;;;-4.525, 129.871
